task_id,processed_by,latency,type,scenario
0,Edge1,200,Partial (70%),Edge-only
1,Edge2,200,Partial (70%),Edge-only
2,Edge1,200,Partial (70%),Edge-only
3,Edge2,200,Partial (70%),Edge-only
4,Edge1,200,Partial (70%),Edge-only
5,Edge2,200,Partial (70%),Edge-only
6,Edge1,200,Partial (70%),Edge-only
7,Edge2,200,Partial (70%),Edge-only
8,Edge1,200,Partial (70%),Edge-only
9,Edge2,200,Partial (70%),Edge-only
10,Edge1,200,Partial (70%),Edge-only
11,Edge2,200,Partial (70%),Edge-only
12,Edge1,200,Partial (70%),Edge-only
13,Edge2,200,Partial (70%),Edge-only
14,Edge1,200,Partial (70%),Edge-only
15,Edge2,200,Partial (70%),Edge-only
16,Edge1,200,Partial (70%),Edge-only
17,Edge2,200,Partial (70%),Edge-only
18,Edge1,200,Partial (70%),Edge-only
0,Cloud,300,Full (100%),Cloud-only
1,Cloud,300,Full (100%),Cloud-only
2,Cloud,300,Full (100%),Cloud-only
3,Cloud,300,Full (100%),Cloud-only
4,Cloud,300,Full (100%),Cloud-only
5,Cloud,300,Full (100%),Cloud-only
6,Cloud,300,Full (100%),Cloud-only
7,Cloud,300,Full (100%),Cloud-only
8,Cloud,300,Full (100%),Cloud-only
9,Cloud,300,Full (100%),Cloud-only
10,Cloud,300,Full (100%),Cloud-only
11,Cloud,300,Full (100%),Cloud-only
12,Cloud,300,Full (100%),Cloud-only
13,Cloud,300,Full (100%),Cloud-only
0,Edge1,200,Partial (70%),Hybrid
1,Edge2,200,Partial (70%),Hybrid
2,Edge1,200,Partial (70%),Hybrid
3,Edge2,200,Partial (70%),Hybrid
4,Edge1,200,Partial (70%),Hybrid
5,Edge2,200,Partial (70%),Hybrid
6,Edge1,200,Partial (70%),Hybrid
7,Edge2,200,Partial (70%),Hybrid
8,Edge1,200,Partial (70%),Hybrid
9,Edge2,200,Partial (70%),Hybrid
10,Edge1,200,Partial (70%),Hybrid
11,Edge2,200,Partial (70%),Hybrid
12,Edge1,200,Partial (70%),Hybrid
13,Edge2,200,Partial (70%),Hybrid
14,Edge1,200,Partial (70%),Hybrid
15,Edge2,200,Partial (70%),Hybrid
16,Edge1,200,Partial (70%),Hybrid
17,Edge2,200,Partial (70%),Hybrid
18,Edge1,200,Partial (70%),Hybrid
